Site 1,Site 2,Site 3,Site 4,Site 5,Location,Links,GPT Response
https://duchesne.utah.gov/gov/elected-officials/clerk-auditor/elections-home/,https://duchesne.utah.gov/,,,,Duchesne county UT,,Not Found
https://sjrnews.com/,,,,,San Juan county UT,,Not Found
,,,,,Morgan county UT,,Please provide the URLs for analysis.
https://juabcounty.gov/residents/election-information/running-for-office-2024/,https://juabcounty.gov/notice-official-notice-of-the-2024-primary-election/,https://juabcounty.gov/notice-official-notice-of-the-2024-regular-general-election/,,,Juab county UT,"https://juabcounty.gov/residents/election-information/running-for-office-2024/,https://juabcounty.gov/notice-official-notice-of-the-2024-regular-general-election/","https://juabcounty.gov/residents/election-information/running-for-office-2024/
https://juabcounty.gov/notice-official-notice-of-the-2024-regular-general-election/"
"https://ballotpedia.org/Emery_County,_Utah,_elections,_2022",https://www.govserv.org/US/Castle-Dale/115681535125211/Emery-County-Republican-Party,,,,Emery county UT,"https://ballotpedia.org/Emery_County,_Utah,_elections,_2022","https://ballotpedia.org/Emery_County,_Utah,_elections,_2022"
https://www.grandcountyutah.net/134/County-Commission,https://www.youtube.com/@GrandCountyUtahGovernment/playlists,http://grandcountyutah.net/,,,Grand county UT,,Not Found
https://kane.utah.gov/gov/dept/clerk-auditor/,https://kane.utah.gov/,,,,Kane county UT,,Not Found
,,,,,Beaver county UT,,Not Found
,,,,,Garfield county UT,,Please provide the URLs or the text from each of the websites for analysis.
https://vote.utah.gov/2024-candidate-filings/,,,,,Wayne county UT,,Not Found
https://data.usatoday.com/unemployment/rich-county-ut/CN4903300000000/2024-april/,,,,,Rich county UT,,Not Found
"https://ballotpedia.org/Piute_County,_Utah","https://ballotpedia.org/Piute_County,_Utah,_elections,_2022","https://ballotpedia.org/Piute_School_District,_Utah,_elections",https://electionresults.utah.gov/results/public/piutecountyutah/elections/2023-Nov-General,,Piute county UT,"https://ballotpedia.org/Piute_County,_Utah,_elections,_2022,https://ballotpedia.org/Piute_School_District,_Utah,_elections","https://ballotpedia.org/Piute_County,_Utah,_elections,_2022
https://ballotpedia.org/Piute_School_District,_Utah,_elections"
https://www.daggettcounty.org/90/Elections,"https://ballotpedia.org/Daggett_County,_Utah,_elections,_2022",http://www.daggettcounty.org/26/Commission,,,Daggett county UT,"https://www.daggettcounty.org/90/Elections,https://ballotpedia.org/Daggett_County,_Utah,_elections,_2022","https://www.daggettcounty.org/90/Elections

https://ballotpedia.org/Daggett_County,_Utah,_elections,_2022"
